method_id,trajectory_id,checkpoint,value_accuracy,status_accuracy,evidence_hit_rate,evidence_citation_precision,exact_state_match
fc_openrouter_gpt_oss_120b,traj_005,135,0.5882352941176471,0.7941176470588235,0.06666666666666667,1.0,False
fc_openrouter_gpt_oss_120b,traj_005,150,0.4411764705882353,0.7352941176470589,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_005,165,0.5,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_005,180,0.6470588235294118,0.9117647058823529,0.17647058823529413,0.5,False
fc_openrouter_gpt_oss_120b,traj_005,195,0.5,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_005,210,0.5294117647058824,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_005,225,0.5882352941176471,0.9117647058823529,0.11764705882352941,0.4,False
fc_openrouter_gpt_oss_120b,traj_005,240,0.6176470588235294,0.8529411764705882,0.125,0.5,False
fc_openrouter_gpt_oss_120b,traj_005,255,0.5588235294117647,0.8235294117647058,0.10526315789473684,0.5,False
fc_openrouter_gpt_oss_120b,traj_005,270,0.5,0.7352941176470589,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_005,285,0.5,0.7352941176470589,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_005,300,0.5,0.7352941176470589,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,15,0.8823529411764706,0.9411764705882353,0.2,0.5,False
fc_openrouter_gpt_oss_120b,traj_006,30,0.8235294117647058,0.9411764705882353,0.14285714285714285,1.0,False
fc_openrouter_gpt_oss_120b,traj_006,45,0.7941176470588235,0.9411764705882353,0.125,0.5,False
fc_openrouter_gpt_oss_120b,traj_006,60,0.7352941176470589,0.8529411764705882,0.09090909090909091,1.0,False
fc_openrouter_gpt_oss_120b,traj_006,75,0.6764705882352942,0.8235294117647058,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,90,0.6470588235294118,0.8235294117647058,0.06666666666666667,1.0,False
fc_openrouter_gpt_oss_120b,traj_006,105,0.7058823529411765,0.9117647058823529,0.08333333333333333,1.0,False
fc_openrouter_gpt_oss_120b,traj_006,120,0.7352941176470589,0.9117647058823529,0.09090909090909091,1.0,False
fc_openrouter_gpt_oss_120b,traj_006,135,0.7352941176470589,0.9117647058823529,0.09090909090909091,1.0,False
fc_openrouter_gpt_oss_120b,traj_006,150,0.6470588235294118,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,165,0.7058823529411765,0.9705882352941176,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,180,0.7647058823529411,0.9705882352941176,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,195,0.6764705882352942,0.9411764705882353,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,210,0.6176470588235294,0.8823529411764706,0.07142857142857142,1.0,False
fc_openrouter_gpt_oss_120b,traj_006,225,0.5882352941176471,0.8823529411764706,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,240,0.5588235294117647,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,255,0.5588235294117647,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,270,0.5294117647058824,0.7941176470588235,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,285,0.5882352941176471,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_006,300,0.6176470588235294,0.8529411764705882,0.0,0.0,False
fc_openrouter_gpt_oss_120b,traj_007,15,1.0,1.0,,,True
fc_openrouter_gpt_oss_120b,traj_007,30,0.9705882352941176,1.0,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,45,0.9411764705882353,1.0,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,60,0.9705882352941176,1.0,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,75,0.9411764705882353,1.0,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,90,0.8823529411764706,0.9411764705882353,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,105,0.8235294117647058,0.9411764705882353,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,120,0.7647058823529411,0.8823529411764706,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,135,0.7352941176470589,0.8529411764705882,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,150,0.7352941176470589,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,165,0.7352941176470589,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,180,0.7058823529411765,0.8235294117647058,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,195,0.7941176470588235,0.9117647058823529,0.0,,False
fc_openrouter_gpt_oss_120b,traj_007,210,0.7352941176470589,0.8235294117647058,0.0,,False
