method_id,trajectory_id,checkpoint,change_detection_f1,change_detection_precision,change_detection_recall,changed_path_count,changed_state_accuracy,correct_cell_count,correct_change_f1,correct_change_precision,correct_change_recall,dynamic_path_count,dynamic_path_final_state_accuracy,evidence_citation_precision,evidence_hit_rate,exact_state_match,final_state_accuracy,status_accuracy,unchanged_path_count,unchanged_state_accuracy,value_accuracy
fc_openrouter_gpt_oss_120b,traj_003,120,0.631578947368421,0.8571428571428571,0.5,12,0.3333333333333333,25,0.4210526315789474,0.5714285714285714,0.3333333333333333,25,0.68,0.4,0.16666666666666666,False,0.7352941176470589,0.9411764705882353,22,0.9545454545454546,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_003,135,0.5555555555555556,0.7142857142857143,0.45454545454545453,11,0.09090909090909091,22,0.1111111111111111,0.14285714285714285,0.09090909090909091,25,0.56,0.2,0.09090909090909091,False,0.6470588235294118,0.8529411764705882,23,0.9130434782608695,0.7058823529411765
fc_openrouter_gpt_oss_120b,traj_003,150,0.5263157894736842,0.7142857142857143,0.4166666666666667,12,0.08333333333333333,21,0.10526315789473685,0.14285714285714285,0.08333333333333333,25,0.52,0.2,0.08333333333333333,False,0.6176470588235294,0.8235294117647058,22,0.9090909090909091,0.6764705882352942
fc_openrouter_gpt_oss_120b,traj_003,165,0.2105263157894737,0.5,0.13333333333333333,15,0.06666666666666667,18,0.10526315789473685,0.25,0.06666666666666667,25,0.4,0.5,0.06666666666666667,False,0.5294117647058824,0.7941176470588235,19,0.8947368421052632,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_003,180,0.31578947368421056,0.75,0.2,15,0.0,18,0.0,0.0,0.0,25,0.36,0.0,0.0,False,0.5294117647058824,0.7941176470588235,19,0.9473684210526315,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_003,195,0.4,0.7142857142857143,0.2777777777777778,18,0.0,14,0.0,0.0,0.0,25,0.24,0.0,0.0,False,0.4117647058823529,0.7647058823529411,16,0.875,0.47058823529411764
fc_openrouter_gpt_oss_120b,traj_003,210,0.18181818181818182,0.6666666666666666,0.10526315789473684,19,0.0,14,0.0,0.0,0.0,25,0.2,0.0,0.0,False,0.4117647058823529,0.7647058823529411,15,0.9333333333333333,0.4117647058823529
fc_openrouter_gpt_oss_120b,traj_003,225,0.4444444444444444,0.8571428571428571,0.3,20,0.2,17,0.29629629629629634,0.5714285714285714,0.2,25,0.36,0.0,0.0,False,0.5,0.8529411764705882,14,0.9285714285714286,0.5
fc_openrouter_gpt_oss_120b,traj_003,240,0.5,0.5625,0.45,20,0.1,9,0.11111111111111112,0.125,0.1,25,0.08,0.0,0.0,False,0.2647058823529412,0.7647058823529411,14,0.5,0.4411764705882353
fc_openrouter_gpt_oss_120b,traj_003,255,0.4444444444444444,0.8571428571428571,0.3,20,0.1,15,0.14814814814814817,0.2857142857142857,0.1,25,0.28,0.0,0.0,False,0.4411764705882353,0.8529411764705882,14,0.9285714285714286,0.4411764705882353
fc_openrouter_gpt_oss_120b,traj_003,270,0.5142857142857142,0.5625,0.47368421052631576,19,0.15789473684210525,11,0.17142857142857143,0.1875,0.15789473684210525,25,0.12,0.0,0.0,False,0.3235294117647059,0.7647058823529411,15,0.5333333333333333,0.5294117647058824
fc_openrouter_gpt_oss_120b,traj_003,285,0.4166666666666667,1.0,0.2631578947368421,19,0.15789473684210525,18,0.25,0.6,0.15789473684210525,25,0.36,0.0,0.0,False,0.5294117647058824,0.8529411764705882,15,1.0,0.5294117647058824
fc_openrouter_gpt_oss_120b,traj_003,300,0.46153846153846156,0.8571428571428571,0.3157894736842105,19,0.15789473684210525,17,0.23076923076923078,0.42857142857142855,0.15789473684210525,25,0.36,0.0,0.0,False,0.5,0.8823529411764706,15,0.9333333333333333,0.5
fc_openrouter_gpt_oss_120b,traj_004,15,0.6666666666666666,1.0,0.5,2,0.5,33,0.6666666666666666,1.0,0.5,25,0.96,0.0,0.0,False,0.9705882352941176,1.0,32,1.0,0.9705882352941176
fc_openrouter_gpt_oss_120b,traj_004,30,0.0,0.0,0.0,3,0.0,31,0.0,0.0,0.0,25,0.88,,0.0,False,0.9117647058823529,0.9705882352941176,31,1.0,0.9117647058823529
fc_openrouter_gpt_oss_120b,traj_004,45,0.4,1.0,0.25,4,0.25,31,0.4,1.0,0.25,25,0.88,0.0,0.0,False,0.9117647058823529,0.9705882352941176,30,1.0,0.9117647058823529
fc_openrouter_gpt_oss_120b,traj_004,60,0.4,1.0,0.25,4,0.25,31,0.4,1.0,0.25,25,0.88,0.0,0.0,False,0.9117647058823529,0.9705882352941176,30,1.0,0.9117647058823529
fc_openrouter_gpt_oss_120b,traj_004,75,0.19999999999999998,1.0,0.1111111111111111,9,0.1111111111111111,26,0.19999999999999998,1.0,0.1111111111111111,25,0.68,0.0,0.0,False,0.7647058823529411,0.8529411764705882,25,1.0,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_004,90,0.19999999999999998,1.0,0.1111111111111111,9,0.1111111111111111,26,0.19999999999999998,1.0,0.1111111111111111,25,0.68,0.0,0.0,False,0.7647058823529411,0.8529411764705882,25,1.0,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_004,105,0.19999999999999998,1.0,0.1111111111111111,9,0.1111111111111111,26,0.19999999999999998,1.0,0.1111111111111111,25,0.68,,0.0,False,0.7647058823529411,0.8529411764705882,25,1.0,0.7647058823529411
fc_openrouter_gpt_oss_120b,traj_004,120,0.0,0.0,0.0,9,0.0,25,0.0,0.0,0.0,25,0.64,,0.0,False,0.7352941176470589,0.8529411764705882,25,1.0,0.7352941176470589
fc_openrouter_gpt_oss_120b,traj_004,135,0.11764705882352941,1.0,0.0625,16,0.0,18,0.0,0.0,0.0,25,0.36,0.0,0.0,False,0.5294117647058824,0.7647058823529411,18,1.0,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_004,150,0.11764705882352941,1.0,0.0625,16,0.0,18,0.0,0.0,0.0,25,0.36,,0.0,False,0.5294117647058824,0.7647058823529411,18,1.0,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_004,165,0.0,0.0,0.0,16,0.0,18,0.0,0.0,0.0,25,0.36,,0.0,False,0.5294117647058824,0.7647058823529411,18,1.0,0.5588235294117647
fc_openrouter_gpt_oss_120b,traj_004,180,0.10526315789473684,1.0,0.05555555555555555,18,0.0,16,0.0,0.0,0.0,25,0.28,0.0,0.0,False,0.47058823529411764,0.7352941176470589,16,1.0,0.5
fc_openrouter_gpt_oss_120b,traj_004,195,0.0,0.0,0.0,18,0.0,16,0.0,0.0,0.0,25,0.28,,0.0,False,0.47058823529411764,0.7352941176470589,16,1.0,0.5
fc_openrouter_gpt_oss_120b,traj_004,210,0.0909090909090909,1.0,0.047619047619047616,21,0.0,13,0.0,0.0,0.0,25,0.16,0.0,0.0,False,0.38235294117647056,0.7058823529411765,13,1.0,0.4117647058823529
fc_openrouter_gpt_oss_120b,traj_004,225,0.17391304347826084,1.0,0.09523809523809523,21,0.0,13,0.0,0.0,0.0,25,0.16,0.0,0.0,False,0.38235294117647056,0.7058823529411765,13,1.0,0.4411764705882353
fc_openrouter_gpt_oss_120b,traj_004,240,0.0,0.0,0.0,21,0.0,13,0.0,0.0,0.0,25,0.16,,0.0,False,0.38235294117647056,0.7058823529411765,13,1.0,0.4117647058823529
fc_openrouter_gpt_oss_120b,traj_004,255,0.08695652173913045,1.0,0.045454545454545456,22,0.0,12,0.0,0.0,0.0,25,0.12,0.0,0.0,False,0.35294117647058826,0.6764705882352942,12,1.0,0.38235294117647056
