method_id,trajectory_id,final_state_accuracy,dynamic_path_final_state_accuracy,value_accuracy,status_accuracy,changed_state_accuracy,unchanged_state_accuracy,exact_state_match,change_detection_precision,change_detection_recall,change_detection_f1,correct_change_precision,correct_change_recall,correct_change_f1,evidence_hit_rate,evidence_citation_precision
fc_openrouter_qwen_3_5_122b_a10b,traj_011,0.6338235294117647,0.59,0.7779411764705882,0.8044117647058824,0.3688967465283255,0.7493786503088957,0.05,0.5632337148145972,0.65295771479982,0.5984840647702621,0.3212366187733835,0.3688967465283255,0.34043528770595743,0.38496225996225997,0.5104910002278423
fc_openrouter_qwen_3_5_122b_a10b,traj_012,0.6676470588235294,0.68,0.7602941176470588,0.8455882352941176,0.5638663967611336,0.7171613359980552,0.05,0.5791522914033514,0.8650930210140736,0.6998099269151901,0.36744725792334826,0.5638663967611336,0.44763295121043206,0.5792558318874108,0.5657286895025203
fc_openrouter_qwen_3_5_122b_a10b,traj_013,0.7382352941176471,0.768,0.8705882352941177,0.8308823529411765,0.7456775169275169,0.7383916184459662,0.1,0.6568222925221681,0.9318459318459319,0.7489742790863662,0.5406483759338282,0.7456775169275169,0.6095269542351611,0.6788758463758464,0.6924660062160062
fc_openrouter_qwen_3_5_122b_a10b,traj_014,0.7220588235294118,0.748,0.8029411764705883,0.888235294117647,0.6382803348612173,0.7687444106572091,0.0,0.6526044204333677,0.814734317969612,0.7113975227065064,0.5116943801812223,0.6382803348612173,0.5553891404186322,0.6261059120617944,0.6162770839561121
fc_openrouter_qwen_3_5_122b_a10b,traj_015,0.6867647058823529,0.6920000000000001,0.8411764705882353,0.8294117647058823,0.625012268433321,0.7259561045347833,0.05,0.5642303401213584,0.8664304262988474,0.6801184825199001,0.40208212744539973,0.625012268433321,0.4821281866764187,0.6110276419486946,0.4929239190835637
fc_openrouter_qwen_3_5_122b_a10b,traj_016,0.6191176470588236,0.624,0.7514705882352941,0.8073529411764706,0.5096411513323278,0.6550998644744346,0.0,0.5825063942018108,0.8275805607790901,0.6763154839348826,0.35044399580094154,0.5096411513323278,0.41112110936641416,0.43333176627294273,0.451006022610634
fc_openrouter_qwen_3_5_122b_a10b,traj_017,0.6514705882352941,0.678,0.836764705882353,0.7573529411764706,0.5702830502830503,0.6394871642322917,0.0,0.47310301819783246,0.9223443223443224,0.6140724956784601,0.3061840447134565,0.5702830502830503,0.3940286606160785,0.6576029526029527,0.6009042346542347
fc_openrouter_qwen_3_5_122b_a10b,traj_018,0.6602941176470588,0.67,0.8411764705882353,0.7838235294117647,0.5349278499278499,0.6799781420326471,0.0,0.450504905563544,0.8944805194805194,0.5916829253721262,0.2663735231841639,0.5349278499278499,0.3513259130226974,0.5633838383838383,0.5354956575931809
fc_openrouter_qwen_3_5_122b_a10b,traj_019,0.6808823529411765,0.7020000000000001,0.8294117647058823,0.8220588235294117,0.6115491452991453,0.6752186376841549,0.0,0.6067413558981065,0.8765705128205128,0.6791873782663256,0.4495320945898749,0.6115491452991453,0.4839003735714262,0.6577564102564103,0.6095434718789982
fc_openrouter_qwen_3_5_122b_a10b,traj_020,0.6088235294117648,0.614,0.7647058823529411,0.763235294117647,0.5284969526087947,0.6200177577952177,0.0,0.5688802751829067,0.8425674982911825,0.6697736702422967,0.35659114009771903,0.5284969526087947,0.4202868030973532,0.5251320061517429,0.44552647855768274
