method_id,trajectory_id,checkpoint,visible_prefix_size,retrieved_evidence_count,visible_prefix_recall,visible_prefix_complete
fc_openrouter_gpt_oss_120b,traj_010,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_010,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,45,45,45,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,60,60,60,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,75,75,75,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,90,90,90,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,105,105,105,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,120,120,120,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,135,135,135,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,150,150,150,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,165,165,165,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,180,180,180,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,195,195,195,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,210,210,210,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,225,225,225,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,240,240,240,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,255,255,255,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,270,270,270,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,285,285,285,1.0,True
fc_openrouter_gpt_oss_120b,traj_011,300,300,300,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,15,15,15,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,30,30,30,1.0,True
fc_openrouter_gpt_oss_120b,traj_012,45,45,45,1.0,True
